signal_date,symbol,signal,wl_state,close,dd120,rsi,csi1000,brief_date
2026-07-17,002015,L1接刀,WATCHING,13.07,-0.461,29.1,risk_off,2026-07-20
2026-07-15,300724,L1接刀,WATCHING,53.81,-0.630,25.1,risk_off,2026-07-20
2026-07-17,603306,L1接刀,WATCHING,71.37,-0.397,27.5,risk_off,2026-07-20
2026-07-17,605123,L1接刀,WATCHING,73.73,-0.414,28.8,risk_off,2026-07-20
2026-07-16,603601,L1接刀,WATCHING,8.26,-0.649,27.0,risk_off,2026-07-20
2026-07-15,601179,L1接刀,WATCHING,11.64,-0.421,27.5,risk_off,2026-07-20
2026-07-16,002518,L1接刀,WATCHING,33.53,-0.476,27.2,risk_off,2026-07-20
2026-07-15,002074,L6超卖修复,WATCHING,26.91,-0.349,44.6,risk_off,2026-07-20
2026-07-17,002009,L1接刀,WATCHING,16.25,-0.546,29.1,risk_off,2026-07-20
2026-07-17,002716,L1接刀,EXITED,6.91,-0.673,29.6,risk_off,2026-07-20
2026-07-20,002466,L1接刀,WATCHING,42.29,-0.482,27.4,risk_off,2026-07-21
2026-07-20,600879,L1接刀,WATCHING,14.65,-0.534,29.6,risk_off,2026-07-21
2026-07-20,601137,L1接刀,WATCHING,16.32,-0.381,26.0,risk_off,2026-07-21
2026-07-20,603283,L1接刀,WATCHING,42.17,-0.479,27.8,risk_off,2026-07-21
2026-07-20,601179,L6超卖修复,WATCHING,12.33,-0.387,36.1,risk_off,2026-07-21
2026-07-20,688567,L6超卖修复,WATCHING,9.45,-0.422,37.7,risk_off,2026-07-21
